timestamp,name,device,antenna,gain,bandwidth_hz,rf_notch,sample_rate,snr_db,power_db,sync_detected,tsbk_count,frames_decoded,sync_losses,error
2025-12-25T14:54:58.016629,F070_AntB_g7_bw1536k_notch1,"driver=sdrplay,serial=240309F070",Antenna B,7,1536000,True,6000000,14.36,-29.57,True,0,3,56,
2025-12-25T14:55:09.227829,F070_AntB_g7_bw5000k_notch0,"driver=sdrplay,serial=240309F070",Antenna B,7,5000000,False,6000000,14.15,-29.43,True,0,1,58,
2025-12-25T14:55:20.458015,F070_AntB_g7_bw5000k_notch1,"driver=sdrplay,serial=240309F070",Antenna B,7,5000000,True,6000000,13.45,-29.13,True,0,4,59,
2025-12-25T14:55:31.708317,F070_AntB_g10_bw600k_notch0,"driver=sdrplay,serial=240309F070",Antenna B,10,600000,False,6000000,14.02,-29.13,True,0,3,61,
2025-12-25T14:55:42.963504,F070_AntB_g10_bw600k_notch1,"driver=sdrplay,serial=240309F070",Antenna B,10,600000,True,6000000,14.24,-29.35,True,0,7,61,
2025-12-25T14:55:54.208521,F070_AntB_g10_bw1536k_notch0,"driver=sdrplay,serial=240309F070",Antenna B,10,1536000,False,6000000,13.95,-29.31,True,0,2,59,
2025-12-25T14:56:05.436302,F070_AntB_g10_bw1536k_notch1,"driver=sdrplay,serial=240309F070",Antenna B,10,1536000,True,6000000,13.64,-29.17,True,0,2,59,
2025-12-25T14:56:16.682173,F070_AntB_g10_bw5000k_notch0,"driver=sdrplay,serial=240309F070",Antenna B,10,5000000,False,6000000,14.88,-29.6,True,0,2,63,
2025-12-25T14:56:27.915328,F070_AntB_g10_bw5000k_notch1,"driver=sdrplay,serial=240309F070",Antenna B,10,5000000,True,6000000,13.73,-29.09,True,0,7,60,
2025-12-25T14:56:39.151908,E670_AntA_g5_bw600k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,5,600000,False,6000000,13.61,-29.15,True,0,6,60,
2025-12-25T14:56:50.367855,E670_AntA_g5_bw600k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,5,600000,True,6000000,13.03,-28.17,True,0,11,43,
2025-12-25T14:57:01.595397,E670_AntA_g5_bw1536k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,5,1536000,False,6000000,13.54,-28.88,True,0,9,60,
2025-12-25T14:57:12.831240,E670_AntA_g5_bw1536k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,5,1536000,True,6000000,14.65,-29.56,True,0,4,57,
2025-12-25T14:57:24.068479,E670_AntA_g5_bw5000k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,5,5000000,False,6000000,14.41,-29.56,True,0,3,55,
2025-12-25T14:57:35.327514,E670_AntA_g5_bw5000k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,5,5000000,True,6000000,14.59,-29.51,True,0,10,54,
2025-12-25T14:57:46.543905,E670_AntA_g7_bw600k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,7,600000,False,6000000,13.44,-29.11,True,0,7,58,
2025-12-25T14:57:57.783901,E670_AntA_g7_bw600k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,7,600000,True,6000000,14.0,-29.21,True,0,5,58,
2025-12-25T14:58:09.007962,E670_AntA_g7_bw1536k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,7,1536000,False,6000000,13.42,-28.99,True,0,5,56,
2025-12-25T14:58:20.251755,E670_AntA_g7_bw1536k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,7,1536000,True,6000000,13.1,-28.19,True,0,16,59,
2025-12-25T14:58:31.493006,E670_AntA_g7_bw5000k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,7,5000000,False,6000000,13.23,-28.54,True,0,8,51,
2025-12-25T14:58:42.723283,E670_AntA_g7_bw5000k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,7,5000000,True,6000000,13.58,-29.1,True,0,5,55,
2025-12-25T14:58:53.967720,E670_AntA_g10_bw600k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,10,600000,False,6000000,13.49,-28.85,True,0,5,59,
2025-12-25T14:59:05.220117,E670_AntA_g10_bw600k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,10,600000,True,6000000,14.18,-29.34,True,0,5,59,
2025-12-25T14:59:16.477723,E670_AntA_g10_bw1536k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,10,1536000,False,6000000,13.96,-29.29,True,0,5,57,
2025-12-25T14:59:27.716670,E670_AntA_g10_bw1536k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,10,1536000,True,6000000,13.02,-28.44,True,0,6,60,
2025-12-25T14:59:38.956964,E670_AntA_g10_bw5000k_notch0,"driver=sdrplay,serial=240305E670",Antenna A,10,5000000,False,6000000,13.25,-28.64,True,0,4,59,
2025-12-25T14:59:50.200219,E670_AntA_g10_bw5000k_notch1,"driver=sdrplay,serial=240305E670",Antenna A,10,5000000,True,6000000,13.04,-28.5,True,0,3,55,
